energy,tempo,danceability,playlist_genre,loudness,valence,speechiness,track_popularity,duration_ms
0.509,119.945,0.578,rock,-6.229,0.586,0.0279,80,74379
0.62,117.038,0.741,rock,-5.505,0.934,0.0412,79,251424
0.643,103.842,0.633,rock,-8.122,0.472,0.0252,78,130385
0.593,120.509,0.565,rock,-5.864,0.429,0.0883,78,157974
0.749,164.959,0.593,rock,-5.67,0.649,0.0475,77,309053
0.518,151.891,0.815,rock,-6.594,0.877,0.0897,77,177667
0.846,103.912,0.611,rock,-5.9,0.751,0.0436,77,162920
0.924,168.017,0.598,rock,-4.974,0.611,0.0623,76,162339
0.828,112.056,0.654,rock,-5.377,0.79,0.0281,76,183893
0.901,113.967,0.621,rock,-5.396,0.744,0.0302,74,300773
0.509,119.869,0.898,rock,-7.973,0.727,0.062,74,181507
0.94,100.99,0.438,rock,-3.249,0.421,0.0452,73,261000
0.572,131.272,0.636,rock,-7.797,0.66,0.0913,73,192128
0.603,102.99,0.66,rock,-7.7,0.527,0.025,73,214087
0.798,126.976,0.502,rock,-5.909,0.307,0.0414,72,234933
0.684,209.688,0.633,rock,-4.314,0.725,0.591,71,213573
0.351,87.057,0.665,rock,-9.424,0.451,0.0276,71,126120
0.521,106.035,0.539,rock,-7.46,0.679,0.0299,69,183440
0.544,121.968,0.823,rock,-10.077,0.826,0.0358,69,162663
0.658,150.093,0.615,rock,-7.299,0.293,0.0343,68,227080
0.501,134.014,0.781,rock,-9.767,0.961,0.0333,68,177818
0.501,87.086,0.668,country,-13.119,0.858,0.0629,73,214880
0.361,121.059,0.606,country,-16.031,0.621,0.0346,70,173467
0.361,187.711,0.363,country,-14.398,0.612,0.0499,68,152867
0.586,78.259,0.434,r&b,-7.612,0.239,0.138,80,239613
0.545,159.94,0.545,r&b,-7.362,0.549,0.107,87,184516
0.364,75.24,0.524,r&b,-10.209,0.436,0.0367,84,209831
0.507,86.412,0.662,r&b,-8.238,0.676,0.118,79,223440
0.607,81.001,0.684,r&b,-8.127,0.498,0.1,85,195373
0.551,143.008,0.559,r&b,-7.231,0.392,0.132,86,201800
0.444,118.402,0.609,r&b,-9.129,0.166,0.106,81,228707
0.394,117.489,0.689,r&b,-10.102,0.382,0.065,78,212992
0.551,92.887,0.911,r&b,-3.75,0.969,0.045,78,265867
0.693,86.009,0.662,r&b,-4.298,0.655,0.0698,74,252120
0.684,112.912,0.692,r&b,-7.364,0.406,0.155,80,231253
